total_rows,total_elapsed_time,total_reward,elapsed_time,reward,conflict_count
44,2113.9192399999997,181539.0,93.70673,5890.0,0
47,2403.6762099999996,237953.0,100.12178,7183.0,0
37,1497.78321,140088.0,78.7278,5126.0,0
39,1653.78582,159722.0,82.61892,5506.0,0
41,1828.06561,185341.0,87.04358,6292.0,0
36,1408.9632900000004,145113.0,76.21193,5560.0,0
35,1339.63856,127812.0,74.45526,4927.0,0
41,1821.1587800000002,190915.0,86.69205,6585.0,0
42,1920.2746000000002,147509.0,89.23163,4885.0,0
42,1919.49092,178829.0,89.34065,5701.0,0
45,2185.67967,232188.0,95.05775,7226.0,0
36,1412.6865899999998,132280.0,76.38381,4915.0,0
45,2204.4210199999998,232322.0,95.77232,7544.0,0
48,2509.22815,242284.0,102.24237,7121.0,0
46,2293.0186599999997,232419.0,97.67757,7070.0,0
46,2297.0164700000005,237537.0,97.71608,7311.0,0
45,2202.49692,221368.0,95.85093,6828.0,0
38,1577.0039700000002,147188.0,80.7928,5181.0,0
32,1120.4871600000001,105817.0,67.90971,4416.0,0
46,2300.66989,228590.0,97.87721,6985.0,0
30,991.0419199999999,93310.0,63.85705,4155.0,0
42,1921.0348800000002,197905.0,89.24728,6597.0,0
48,2502.80578,251894.0,102.12947,7334.0,0
35,1337.6387200000001,140389.0,74.3357,5585.0,0
43,2012.98157,207574.0,91.49848,6823.0,0
48,2508.3737499999997,250294.0,102.42049,7299.0,0
38,1581.2336900000003,150245.0,81.02433,5263.0,0
34,1268.76136,118049.0,72.52609,4646.0,0
42,1935.1878300000003,178168.0,89.87605,5685.0,0
48,2503.5325700000003,255466.0,102.1609,7536.0,0
28,863.0907699999998,77264.0,59.45017,4299.0,0
36,1416.38571,154840.0,76.53091,6114.0,0
47,2413.6195700000003,240242.0,100.52417,7089.0,0
40,1746.94375,180701.0,85.28613,6335.0,0
38,1575.61515,147188.0,80.76253,5181.0,0
36,1416.1743099999999,149713.0,76.45655,5844.0,0
40,1748.17978,162948.0,85.28302,5449.0,0
45,2194.5425400000004,222298.0,95.37986,6849.0,0
42,1917.46892,200311.0,89.20298,6779.0,0
48,2496.02279,251754.0,101.85286,7332.0,0
17,288.47946,10400.0,33.91176,1300.0,0
38,1569.4279499999996,165907.0,80.46404,6118.0,0
46,2292.42407,233415.0,97.48988,7093.0,0
45,2193.39095,215951.0,95.2981,6587.0,0
39,1647.6344100000001,175300.0,82.36307,6359.0,0
44,2096.48601,214391.0,93.18127,6823.0,0
44,2093.7939,218979.0,93.07702,7056.0,0
