action,agent_position,target_position,total_reward,elapsed_time,conflict_count
2,"(0, 0)","(0, 60)",240.0,0.06233,0
2,"(0, 0)","(0, 60)",480.0,0.12449,0
0,"(0, 0)","(0, 60)",720.0,0.22056,0
3,"(1, 0)","(0, 60)",859.0,0.28465,0
0,"(1, 0)","(0, 60)",998.0,0.37626,0
1,"(1, 30)","(0, 60)",1167.0,0.47184,0
1,"(1, 45)","(0, 60)",1351.0,0.55118,0
1,"(1, 52)","(0, 60)",1542.0,0.62037,0
1,"(1, 56)","(0, 60)",1737.0,0.69625,0
1,"(1, 57)","(0, 60)",1933.0,0.75926,0
1,"(1, 58)","(0, 60)",2130.0,0.82932,0
1,"(1, 59)","(0, 60)",2328.0,0.89206,0
1,"(1, 60)","(0, 60)",2527.0,0.9543,0
2,"(0, 60)","(75, 60)",2927.0,1.03929,0
3,"(37, 60)","(75, 60)",2927.0,1.13644,0
3,"(56, 60)","(75, 60)",2927.0,1.2195,0
3,"(65, 60)","(75, 60)",2927.0,1.29031,0
3,"(70, 60)","(75, 60)",2927.0,1.41802,0
3,"(72, 60)","(75, 60)",2927.0,1.49789,0
3,"(73, 60)","(75, 60)",2927.0,1.57221,0
3,"(74, 60)","(75, 60)",2927.0,1.64681,0
3,"(75, 60)","(0, 0)",2927.0,1.87823,0
1,"(75, 90)","(20, 0)",-45.0,0.08862,0
0,"(75, 45)","(20, 0)",-45.0,0.19745,0
0,"(75, 23)","(20, 0)",-23.0,0.28527,0
2,"(48, 23)","(20, 0)",26.0,0.37605,0
1,"(48, 34)","(20, 0)",64.0,0.44633,0
0,"(48, 17)","(20, 0)",119.0,0.52757,0
2,"(34, 17)","(20, 0)",188.0,0.58552,0
0,"(34, 9)","(20, 0)",265.0,0.63475,0
2,"(27, 9)","(20, 0)",349.0,0.68411,0
0,"(27, 5)","(20, 0)",437.0,0.72887,0
2,"(24, 5)","(20, 0)",528.0,0.77403,0
0,"(24, 4)","(20, 0)",620.0,0.81671,0
0,"(24, 3)","(20, 0)",713.0,0.86432,0
2,"(23, 3)","(20, 0)",807.0,0.91551,0
0,"(23, 2)","(20, 0)",902.0,0.97557,0
2,"(22, 2)","(20, 0)",998.0,1.01867,0
0,"(22, 1)","(20, 0)",1095.0,1.07487,0
2,"(21, 1)","(20, 0)",1193.0,1.12709,0
0,"(21, 0)","(20, 0)",1392.0,1.19264,0
2,"(20, 0)","(75, 0)",1792.0,1.25534,0
3,"(47, 0)","(75, 0)",1792.0,1.34599,0
